4,31,17,73,1,19,63,64,30,7,67,95,80,51,68,65,81,84,92,24,
70,31,69,83,86,47,23,0,35,72,36,98,76,89,48,3,57,22,79,12,
55,78,29,98,48,8,88,51,20,95,35,11,25,40,57,86,18,93,76,68,
29,14,12,19,93,28,3,52,71,23,89,69,20,82,39,33,51,96,16,53,
4,10,15,8,89,52,72,11,19,57,61,30,9,21,54,93,75,46,92,58,
0,97,35,76,4,90,72,5,27,68,2,12,32,95,62,6,78,20,49,15,
96,99,89,85,60,7,83,8,82,90,45,37,48,18,11,27,28,92,41,20,
55,20,93,79,80,37,54,64,26,95,34,62,81,70,12,49,68,76,66,5,
8,63,84,86,43,54,58,55,36,33,53,95,93,14,19,75,83,0,59,97,
70,45,34,30,16,98,46,41,22,12,95,2,21,26,47,50,43,48,36,18,
33,81,83,34,91,47,30,8,0,69,19,68,45,44,82,11,55,79,3,26,
5,96,56,86,15,31,7,74,43,51,29,9,58,21,53,35,38,99,92,60,
44,98,96,68,43,36,61,86,35,20,79,37,15,40,53,69,66,93,8,39,
99,35,62,48,46,83,64,41,88,72,92,43,31,39,79,23,28,21,76,50,
86,67,8,68,15,89,24,73,40,6,50,0,60,55,59,35,96,5,64,9,
33,4,56,7,17,5,98,70,89,32,39,48,36,11,27,44,28,72,80,19,
84,91,45,94,68,28,7,0,69,81,42,96,90,53,77,70,26,56,35,97,
95,28,1,94,62,29,54,22,14,90,91,47,80,99,52,15,10,27,23,59,
81,88,25,8,4,78,91,0,58,9,40,37,55,51,50,24,80,70,93,84,
50,46,92,41,17,29,95,39,98,24,57,86,73,93,32,82,28,79,8,64,
6,45,80,46,38,61,98,78,9,91,65,54,67,21,3,52,97,76,5,43,
95,60,28,56,66,35,24,34,81,38,8,5,44,46,1,50,18,25,45,13,
31,79,0,13,74,30,16,53,97,89,29,91,15,60,17,52,64,92,44,48,
8,37,53,58,25,2,65,31,60,11,73,70,1,62,20,47,81,36,3,54,
51,23,75,72,53,83,9,54,94,55,95,2,15,64,87,39,12,71,34,81,
31,48,7,21,41,92,11,52,54,93,47,86,80,50,27,84,76,65,9,79,
75,72,30,92,18,55,3,15,98,29,5,51,68,4,60,53,77,65,36,35,
17,28,3,52,38,68,24,10,63,79,30,70,33,2,32,12,50,8,37,18,
28,73,31,55,84,40,61,33,23,41,25,38,62,54,93,64,34,71,9,80,
84,33,4,20,98,73,39,96,7,95,5,34,77,16,28,47,87,64,26,93,
90,98,23,83,16,60,14,18,12,77,8,86,68,37,35,28,88,9,59,34,
17,20,10,19,62,57,39,6,36,50,31,43,56,52,49,72,91,21,74,48,
54,79,40,39,89,35,31,12,19,91,98,48,93,78,20,15,66,24,94,81,
94,76,53,23,38,4,28,67,72,58,14,50,15,99,21,31,88,22,95,32,
81,7,5,66,24,68,52,80,26,0,47,20,78,21,84,77,10,95,83,58,
25,80,63,57,90,31,62,58,30,8,23,91,44,73,47,97,68,78,43,92,
9,80,73,81,5,76,35,20,21,15,88,69,77,91,46,68,43,25,45,75,
32,94,14,51,5,91,81,66,28,4,84,33,96,52,76,50,87,30,64,7,
66,4,20,5,42,22,56,99,82,69,26,41,0,61,44,17,83,40,51,12,
46,45,50,39,26,9,18,79,16,91,30,76,47,41,80,48,23,8,55,77,
27,41,45,50,37,98,5,89,86,24,62,33,94,60,78,38,57,8,20,79,
56,53,13,26,58,21,7,6,52,54,64,11,88,55,33,41,46,91,66,29,
19,9,40,35,24,55,44,95,57,53,79,43,75,11,52,34,78,1,68,86,
47,57,48,45,10,93,0,6,59,84,39,90,76,23,46,98,65,27,62,40,
52,96,25,79,68,26,61,97,35,56,13,19,67,14,50,27,16,43,10,74,
67,29,42,35,19,66,97,25,47,6,93,5,15,12,7,13,31,57,16,22,
37,97,45,13,61,40,23,65,6,18,91,36,21,17,66,5,71,83,3,10,
84,57,61,1,47,96,86,22,90,58,66,38,39,92,35,68,30,97,82,41,
18,58,0,28,60,55,25,48,96,80,72,97,90,21,26,74,14,86,95,68,
20,22,66,65,14,43,67,79,61,95,23,8,92,63,42,56,37,30,49,24,
48,35,17,32,73,60,26,18,93,64,63,74,77,86,15,23,67,58,62,69,
82,11,50,84,38,30,56,37,31,83,42,63,66,57,43,65,67,77,40,69,
96,9,69,67,88,35,89,84,62,54,2,92,1,15,16,48,86,3,82,25,
79,29,46,57,1,64,34,48,67,95,58,66,61,11,9,20,96,10,54,35,
93,12,63,47,97,40,56,21,99,34,15,64,58,7,70,85,98,81,92,82,
0,7,8,3,16,84,76,34,42,52,75,85,95,65,62,36,55,83,59,94,
84,95,67,42,14,49,64,27,46,39,51,32,60,70,69,34,41,59,62,0,
76,96,78,52,36,24,27,29,30,54,43,3,33,67,59,2,17,51,21,62,
31,90,76,65,81,24,69,70,7,48,55,49,98,88,47,2,87,27,19,16,
91,10,30,68,16,42,81,39,7,61,76,1,82,64,51,62,65,29,50,36,
2,53,36,35,32,37,3,9,89,8,18,25,58,87,88,19,12,75,0,92,
83,62,8,28,65,13,70,73,77,33,99,82,66,45,60,94,90,15,75,80,
62,14,3,15,56,35,46,78,98,66,63,96,61,95,51,13,19,54,64,48,
75,74,3,18,83,26,84,67,10,89,62,37,7,15,17,44,28,54,11,31,
99,72,89,93,16,38,79,70,46,97,56,13,40,31,94,51,7,63,74,22,
98,3,81,4,8,7,54,28,25,88,26,24,82,18,85,74,35,47,27,99,
35,65,76,96,73,58,78,50,72,63,89,46,41,69,7,43,57,92,8,11,
26,46,83,50,18,69,14,25,11,4,52,91,33,43,15,36,30,71,42,60,
1,67,39,45,83,96,78,30,12,79,64,48,28,25,21,94,29,58,37,20,
93,95,92,89,53,65,39,52,99,66,34,49,13,20,54,70,2,85,63,47,
0,41,27,64,80,51,1,97,31,11,17,25,40,42,93,22,28,55,76,56,
70,59,27,23,61,1,52,10,22,12,82,93,3,92,45,32,24,42,63,48,
98,97,72,3,38,47,74,73,11,88,86,93,34,79,19,49,90,81,78,8,
50,36,79,83,58,8,53,99,56,43,19,23,59,48,62,27,76,61,29,65,
2,97,50,86,76,96,34,1,36,87,14,17,66,61,22,46,18,53,59,52,
82,81,58,16,91,89,51,25,5,71,24,85,77,27,13,94,93,15,67,38,
49,21,77,93,97,39,10,11,40,82,14,88,71,25,83,47,5,51,26,66,
52,46,9,16,22,70,89,96,53,42,44,30,67,31,21,7,4,14,24,38,
42,73,91,64,75,47,17,20,89,53,86,32,24,30,21,31,0,71,77,44,
87,0,97,65,57,63,86,46,36,70,66,90,16,30,12,52,61,68,29,79,
47,73,50,57,98,58,96,64,35,85,91,25,60,17,21,79,61,14,95,65,
67,81,56,32,18,94,50,92,44,78,6,79,69,48,34,30,29,89,24,90,
6,12,68,33,59,44,22,74,17,99,65,73,3,27,4,32,14,93,43,16,
16,26,97,25,36,92,49,79,33,89,48,17,86,81,9,76,23,65,41,94,
40,97,4,73,48,35,33,72,86,95,85,92,63,71,23,99,76,78,12,37,
88,4,11,25,30,21,12,92,78,36,90,51,62,87,54,61,93,9,26,0,
3,73,74,35,30,71,43,28,21,37,56,50,13,34,72,92,54,17,0,31,
